GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poker,com.sap.ase.poker.service,TableService,0,540,1,45,0,123,1,56,0,31
poker,com.sap.ase.poker.rest,TableController,0,139,0,2,0,25,0,6,0,5
poker,com.sap.ase.poker.model.hands,Flush,0,53,0,4,0,11,0,6,0,4
poker,com.sap.ase.poker.model.hands,TwoPairs,0,123,0,6,0,26,0,13,0,10
poker,com.sap.ase.poker.model.hands,StraightFlush,0,60,0,0,0,13,0,5,0,5
poker,com.sap.ase.poker.model.hands,Pair,0,78,0,2,0,13,0,10,0,9
poker,com.sap.ase.poker.model.hands,FullHouse,10,108,0,4,0,21,2,13,2,11
poker,com.sap.ase.poker.model.hands,Straight,0,143,0,20,0,34,0,16,0,6
poker,com.sap.ase.poker.model.hands,RoyalFlush,0,86,0,2,0,14,0,6,0,5
poker,com.sap.ase.poker.model.hands,FourOfAKind,0,62,0,2,0,11,0,8,0,7
poker,com.sap.ase.poker.model.hands,ThreeOfAKind,0,62,0,2,0,11,0,8,0,7
poker,com.sap.ase.poker.model.rules,WinnerRules,0,77,0,4,0,16,0,6,0,4
poker,com.sap.ase.poker.model.rules,HandRules,0,79,0,4,0,11,0,6,0,4
poker,com.sap.ase.poker.model.rules,Winners,0,23,0,0,0,7,0,3,0,3
poker,com.sap.ase.poker.model.deck,Kind,0,121,0,0,0,19,0,3,0,3
poker,com.sap.ase.poker.model.deck,Suit,0,39,0,0,0,8,0,2,0,2
poker,com.sap.ase.poker.model.deck,PokerCardsSupplier,0,115,0,4,0,10,0,4,0,2
poker,com.sap.ase.poker.model.deck,RandomCardShuffler,0,15,0,0,0,4,0,2,0,2
poker,com.sap.ase.poker.model.deck,Deck,0,44,0,2,0,11,0,5,0,4
poker,com.sap.ase.poker.model.deck,ShuffledDeckSupplier,0,23,0,0,0,7,0,2,0,2
poker,com.sap.ase.poker.model,GameState,0,56,0,0,0,11,0,3,0,3
